,circuitId,circuit_id
998,1.3330369875806816,albert_park
1031,2.33273269697275,shanghai
1046,2.238579856201629,bahrain
1060,0.8386629453443943,catalunya
1085,-0.1556626403051444,monaco
1103,-0.06431627219872932,silverstone
1136,0.4795273367900102,hungaroring
1157,0.15637992432987124,spa
1176,-0.26550995553432843,monza
1188,3.0693342079457984,marina_bay
1202,0.5848713448719091,suzuka
1222,0.4513128814781789,interlagos
1233,3.3569155830589787,yas_marina
1250,0.18208404517112328,villeneuve
1269,-0.2088390508087473,hockenheimring
1286,-0.1514232000346431,red_bull_ring
1298,0.05838761311829159,rodriguez
1302,-0.7233591146928368,ricard
1316,3.9268101643241216,americas
1323,4.000364293388866,sochi
1326,3.9229984703818785,BAK
1014,1.4439245907881442,sepang
120,-0.45136474940945503,nurburgring
295,3.2533088054246697,yeongam
299,3.271098645307201,buddh
147,2.1501387888160903,valencia
96,1.1762940036137077,istanbul
251,-0.4413040920837635,magny_cours
267,-0.3096126088573843,fuji
269,-0.8951533233606369,indianapolis
277,-0.7278388877197751,imola
284,-0.1514232000346431,osterreichring
616,-0.6846438227216857,galvez
620,-0.9744278737458111,jerez
623,-0.9321823516139305,estoril
626,-0.7795347099825747,okayama
628,-0.996978471403318,adelaide
630,-0.8209743548900017,kyalami
631,-0.5244998570509409,donington
5367,-1.1764053935367755,phoenix
5568,-0.992307731111626,jacarepagua
5574,-0.9209768582850772,detroit
5576,-0.8903545584685785,brands_hatch
5577,-0.7089191540292606,zandvoort
10316,-0.9511501767460536,zolder
10317,-0.9626567738360504,dijon
10318,-0.555120739032384,dallas
11774,-0.923324488022319,long_beach
11775,-0.9984888709856001,las_vegas
11777,-0.8791503695336631,jarama
11778,-0.7730903692813912,watkins_glen
12388,-0.881022638033327,anderstorp
12389,-0.7987714007240343,mosport
15655,-0.7585915417769965,montjuic
15979,-0.9394804396897862,nivelles
15981,-0.4620435579375994,charade
16232,-0.48180275081513485,tremblant
17634,-0.43054791217940436,essarts
17635,0.002810641485807538,lemans
17956,-0.7675350736108911,reims
17636,-0.8079332600204819,george
18018,-0.25250365398030117,zeltweg
18137,-0.954184845607102,aintree
18140,-0.05273520995325645,boavista
18142,-0.43607827857791903,riverside
18143,-0.028225100174857253,avus
18144,-0.07935807694299238,monsanto
18145,-0.23228430949786474,sebring
18146,-0.5364309643785855,ain-diab
18147,-0.07935807694299238,pescara
18968,-0.5644229804122308,bremgarten
18969,-0.6071765175949856,pedralbes
